PRODUCT_ID,PANEL_NO,W(um),L(um),B1(um),B2(um),xc(um),yc(um),xo,yo,ORIGIN_LOCATION,SOURCE_DIRECTION
T31121311212,1,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,2,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,3,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,4,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,5,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,6,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,7,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,8,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,9,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,10,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,11,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,12,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,13,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,14,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,15,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,16,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,17,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,18,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,19,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,20,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,21,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,22,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,23,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
T31121311212,24,152.75,510.75,17.5,433,9957.2,12494,12,32,LT,V
