PFCD,processNo,Destination Fab,ChangeGrade
31504,3000,,Y
TA230221AD02,,,
TA230221AD05,,,
TA230221AD08,,,
TA230221AD11,,,
TA230221AD14,,,
TA230221AD17,,,
TA230221AC03,,,
TA230221AC04,,,
TA230221AC05,,,
TA230221AC06,,,
TA230221AC07,,,
TA230221AC08,,,
TA230221AC09,,,
TA230221AC10,,,
TA230221AC11,,,
TA230221AC12,,,
TA230221AC13,,,
TA220254BT01,,,
TA220254BT02,,,
TA220254BT04,,,
TA220254BT05,,,
TA220254BT07,,,
TA220254BT08,,,
TA220254BT10,,,
TA220254BT11,,,
TA220254BT13,,,
TA220254BT14,,,
TA220254BT16,,,
TA220254BT17,,,
TA220254BV01,,,
TA220254BV04,,,
TA220254BV07,,,
TA220254BV10,,,
TA220254BV13,,,
TA220254CB01,,,
TA220254CB02,,,
TA220254CB03,,,
TA220254CB04,,,
TA220254CB05,,,
TA220254CB06,,,
TA220254CB07,,,
TA220254CB08,,,
TA220254CB09,,,
