PFCD,ProcessNO,ChGrade,NoChGrade1,NoChGrade2,NoChGrade3,NoChGrade4,NoChGrade5,NoChGrade6,NoChGrade7,NoChGrade8,NoChGrade9,NoChGrade10
31504,3000,Y2,,,,,,,,,,
TA270202BM01,,,,,,,,,,,,
TA270202BM02,,,,,,,,,,,,
TA270202BM03,,,,,,,,,,,,
TA270202BM04,,,,,,,,,,,,
TA270202BM05,,,,,,,,,,,,
TA270202BM06,,,,,,,,,,,,
TA270202BM07,,,,,,,,,,,,
TA270202BM08,,,,,,,,,,,,
TA270202BM09,,,,,,,,,,,,
TA270202BM10,,,,,,,,,,,,
TA270202BM11,,,,,,,,,,,,
TA270202BM12,,,,,,,,,,,,
TA270202BM13,,,,,,,,,,,,
TA270202BM14,,,,,,,,,,,,
TA270202BM15,,,,,,,,,,,,
TA270202BM16,,,,,,,,,,,,
TA270202BM17,,,,,,,,,,,,
TA270202BM18,,,,,,,,,,,,
TA270161BD01,,,,,,,,,,,,
TA270161BD02,,,,,,,,,,,,
TA270161BD03,,,,,,,,,,,,
TA270161BD04,,,,,,,,,,,,
TA270161BD05,,,,,,,,,,,,
TA270161BD06,,,,,,,,,,,,
TA270161BD07,,,,,,,,,,,,
TA270161BD08,,,,,,,,,,,,
TA270161BD09,,,,,,,,,,,,
TA270161BD10,,,,,,,,,,,,
TA270161BD11,,,,,,,,,,,,
TA270161BD12,,,,,,,,,,,,
TA270161BD13,,,,,,,,,,,,
TA270161BD14,,,,,,,,,,,,
TA270161BD15,,,,,,,,,,,,
TA270161BD16,,,,,,,,,,,,
TA270161BD17,,,,,,,,,,,,
TA270161BD18,,,,,,,,,,,,
TA270161AL01,,,,,,,,,,,,
TA270161AL02,,,,,,,,,,,,
TA270161AL03,,,,,,,,,,,,
TA270161AL04,,,,,,,,,,,,
TA270161AL05,,,,,,,,,,,,
TA270161AL06,,,,,,,,,,,,
TA270161AL07,,,,,,,,,,,,
TA270161AL08,,,,,,,,,,,,
TA270161AL09,,,,,,,,,,,,
TA270161AL10,,,,,,,,,,,,
TA270161AL11,,,,,,,,,,,,
TA270161AL12,,,,,,,,,,,,
TA270161AL13,,,,,,,,,,,,
TA270161AL14,,,,,,,,,,,,
TA270161AL15,,,,,,,,,,,,
TA270161AL16,,,,,,,,,,,,
TA270161AL17,,,,,,,,,,,,
TA270161AL18,,,,,,,,,,,,
TA270161BB01,,,,,,,,,,,,
TA270161BB02,,,,,,,,,,,,
TA270161BB03,,,,,,,,,,,,
TA270161BB04,,,,,,,,,,,,
TA270161BB05,,,,,,,,,,,,
TA270161BB06,,,,,,,,,,,,
TA270161BB07,,,,,,,,,,,,
TA270161BB08,,,,,,,,,,,,
TA270161BB09,,,,,,,,,,,,
TA270161BB10,,,,,,,,,,,,
TA270161BB11,,,,,,,,,,,,
TA270161BB12,,,,,,,,,,,,
TA270161BB13,,,,,,,,,,,,
TA270161BB14,,,,,,,,,,,,
TA270161BB15,,,,,,,,,,,,
TA270161BB16,,,,,,,,,,,,
TA270161BB17,,,,,,,,,,,,
TA270161BB18,,,,,,,,,,,,
TA270161BN01,,,,,,,,,,,,
TA270161BN02,,,,,,,,,,,,
TA270161BN03,,,,,,,,,,,,
TA270161BN04,,,,,,,,,,,,
TA270161BN05,,,,,,,,,,,,
TA270161BN06,,,,,,,,,,,,
TA270161BN07,,,,,,,,,,,,
TA270161BN08,,,,,,,,,,,,
TA270161BN09,,,,,,,,,,,,
TA270161BN10,,,,,,,,,,,,
TA270161BN11,,,,,,,,,,,,
TA270161BN12,,,,,,,,,,,,
TA270161BN13,,,,,,,,,,,,
TA270161BN14,,,,,,,,,,,,
TA270161BN15,,,,,,,,,,,,
TA270161BN16,,,,,,,,,,,,
TA270161BN17,,,,,,,,,,,,
TA270161BN18,,,,,,,,,,,,
TA270159BT01,,,,,,,,,,,,
TA270159BT02,,,,,,,,,,,,
TA270159BT03,,,,,,,,,,,,
TA270159BT04,,,,,,,,,,,,
TA270159BT05,,,,,,,,,,,,
TA270159BT06,,,,,,,,,,,,
TA270159BT07,,,,,,,,,,,,
TA270159BT08,,,,,,,,,,,,
TA270159BT09,,,,,,,,,,,,
TA270159BT10,,,,,,,,,,,,
TA270159BT11,,,,,,,,,,,,
TA270159BT12,,,,,,,,,,,,
TA270159BT13,,,,,,,,,,,,
TA270159BT14,,,,,,,,,,,,
TA270159BT15,,,,,,,,,,,,
TA270159BT16,,,,,,,,,,,,
TA270159BT17,,,,,,,,,,,,
TA270159BT18,,,,,,,,,,,,
TA270198AA01,,,,,,,,,,,,
TA270198AA02,,,,,,,,,,,,
TA270198AA03,,,,,,,,,,,,
TA270198AA04,,,,,,,,,,,,
TA270198AA05,,,,,,,,,,,,
TA270198AA06,,,,,,,,,,,,
TA270198AA07,,,,,,,,,,,,
TA270198AA08,,,,,,,,,,,,
TA270198AA09,,,,,,,,,,,,
TA270198AA10,,,,,,,,,,,,
TA270198AA11,,,,,,,,,,,,
TA270198AA12,,,,,,,,,,,,
TA270198AA13,,,,,,,,,,,,
TA270198AA14,,,,,,,,,,,,
TA270198AA15,,,,,,,,,,,,
TA270198AA16,,,,,,,,,,,,
TA270198AA17,,,,,,,,,,,,
TA270198AA18,,,,,,,,,,,,
TA270198AJ01,,,,,,,,,,,,
TA270198AJ02,,,,,,,,,,,,
TA270198AJ03,,,,,,,,,,,,
TA270198AJ04,,,,,,,,,,,,
TA270198AJ05,,,,,,,,,,,,
TA270198AJ06,,,,,,,,,,,,
TA270198AJ07,,,,,,,,,,,,
TA270198AJ08,,,,,,,,,,,,
TA270198AJ09,,,,,,,,,,,,
TA270198AJ10,,,,,,,,,,,,
TA270198AJ11,,,,,,,,,,,,
TA270198AJ12,,,,,,,,,,,,
TA270198AJ13,,,,,,,,,,,,
TA270198AJ14,,,,,,,,,,,,
TA270198AJ15,,,,,,,,,,,,
TA270198AJ16,,,,,,,,,,,,
TA270198AJ17,,,,,,,,,,,,
TA270198AJ18,,,,,,,,,,,,
TA270198AE01,,,,,,,,,,,,
TA270198AE02,,,,,,,,,,,,
TA270198AE03,,,,,,,,,,,,
TA270198AE04,,,,,,,,,,,,
TA270198AE05,,,,,,,,,,,,
TA270198AE06,,,,,,,,,,,,
TA270198AE07,,,,,,,,,,,,
TA270198AE08,,,,,,,,,,,,
TA270198AE09,,,,,,,,,,,,
TA270198AE10,,,,,,,,,,,,
TA270198AE11,,,,,,,,,,,,
TA270198AE12,,,,,,,,,,,,
TA270198AE13,,,,,,,,,,,,
TA270198AE14,,,,,,,,,,,,
TA270198AE15,,,,,,,,,,,,
TA270198AE16,,,,,,,,,,,,
TA270198AE17,,,,,,,,,,,,
TA270198AE18,,,,,,,,,,,,
TA270187BP01,,,,,,,,,,,,
TA270187BP02,,,,,,,,,,,,
TA270187BP03,,,,,,,,,,,,
TA270187BP04,,,,,,,,,,,,
TA270187BP05,,,,,,,,,,,,
TA270187BP06,,,,,,,,,,,,
TA270187BP07,,,,,,,,,,,,
TA270187BP08,,,,,,,,,,,,
TA270187BP09,,,,,,,,,,,,
TA270187BP10,,,,,,,,,,,,
TA270187BP11,,,,,,,,,,,,
TA270187BP12,,,,,,,,,,,,
TA270187BP13,,,,,,,,,,,,
TA270187BP14,,,,,,,,,,,,
