PFCD,ProcessNO,ChGrade,NoChGrade1,NoChGrade2,NoChGrade3,NoChGrade4,NoChGrade5,NoChGrade6,NoChGrade7,NoChGrade8,NoChGrade9,NoChGrade10
31501,4680,C,P0,P2,PC,P5,S,RT,P4,P1,P7,PT
TA1C9201BU02,,,,,,,,,,,,
TA1C7269BG03,,,,,,,,,,,,
TA1C7932BH17,,,,,,,,,,,,
TA1C7932BH16,,,,,,,,,,,,
TA1CA983AL17,,,,,,,,,,,,
TA1CD103BE17,,,,,,,,,,,,
TA1C9066AK17,,,,,,,,,,,,
TA220110BP03,,,,,,,,,,,,
TA1C9069AT01,,,,,,,,,,,,
TA210007BC18,,,,,,,,,,,,
TA1C9069BH17,,,,,,,,,,,,
TA1C9069AY17,,,,,,,,,,,,
TA1C9069BR02,,,,,,,,,,,,
TA1C9069BD17,,,,,,,,,,,,
TA1C9201AZ16,,,,,,,,,,,,
TA1C9201AE17,,,,,,,,,,,,
TA1CA980AH18,,,,,,,,,,,,
TA210009CH03,,,,,,,,,,,,
TA1C9096AL17,,,,,,,,,,,,
TA1CA980AJ16,,,,,,,,,,,,
TA1CA983BT03,,,,,,,,,,,,
TA1CA674BV17,,,,,,,,,,,,
TA1CA978AK17,,,,,,,,,,,,
TA1C8135AA17,,,,,,,,,,,,
TA1C9069AW06,,,,,,,,,,,,
TA210003BS17,,,,,,,,,,,,
TA1CA978AM17,,,,,,,,,,,,
TA1C4050AF01,,,,,,,,,,,,
TA1CA984BN17,,,,,,,,,,,,
TA1CA978AT17,,,,,,,,,,,,
TA1CA984BM17,,,,,,,,,,,,
TA1C9660BL06,,,,,,,,,,,,
TA1CA984CC17,,,,,,,,,,,,
TA1C9069AW03,,,,,,,,,,,,
TA210003AW16,,,,,,,,,,,,
TA1C9066CC16,,,,,,,,,,,,
TA210003AW17,,,,,,,,,,,,
TA1C9066AJ17,,,,,,,,,,,,
TA1CA984BX06,,,,,,,,,,,,
TA1C9069AH06,,,,,,,,,,,,
TA1C7269BD16,,,,,,,,,,,,
TA210003AZ17,,,,,,,,,,,,
TA1C8386BL02,,,,,,,,,,,,
TA1CA984CD17,,,,,,,,,,,,
TA1CC630AD17,,,,,,,,,,,,
TA210003AV01,,,,,,,,,,,,
TA1CA984AQ17,,,,,,,,,,,,
TA1C8386BG18,,,,,,,,,,,,
TA210003AV17,,,,,,,,,,,,
TA210003AU17,,,,,,,,,,,,
TA210003BG17,,,,,,,,,,,,
TA1C9066AQ18,,,,,,,,,,,,
TA1C8386AG18,,,,,,,,,,,,
TA210003AK17,,,,,,,,,,,,
TA1CB859AP18,,,,,,,,,,,,
TA1CA983CF01,,,,,,,,,,,,
TA1C8384BF16,,,,,,,,,,,,
TA1C8383AS16,,,,,,,,,,,,
TA1C8383AK17,,,,,,,,,,,,
TA1C9066AP17,,,,,,,,,,,,
TA1C8386AA17,,,,,,,,,,,,
TA1C8386AW18,,,,,,,,,,,,
TA1C8841AE02,,,,,,,,,,,,
TA1C8383AT16,,,,,,,,,,,,
TA1C8383AM18,,,,,,,,,,,,
TA1C8386AB18,,,,,,,,,,,,
TA1C8383AM17,,,,,,,,,,,,
TA1C8386AB17,,,,,,,,,,,,
TA1C8841AH17,,,,,,,,,,,,
TA1C8383AG17,,,,,,,,,,,,
TA1C8841AM16,,,,,,,,,,,,
TA1C8383AF18,,,,,,,,,,,,
TA1C8841AT01,,,,,,,,,,,,
TA1C8383AF17,,,,,,,,,,,,
TA1C8385BW16,,,,,,,,,,,,
TA1C8841AG18,,,,,,,,,,,,
TA1C8383AJ16,,,,,,,,,,,,
TA1CD098AH17,,,,,,,,,,,,
TA1C8841AL16,,,,,,,,,,,,
TA1C8383AC16,,,,,,,,,,,,
TA1C8841AF16,,,,,,,,,,,,
